name,description,price,tags,imageUrl,optionName,hidden,weight,prepaymentPercent,hideBuyBtn,bonusesPercent
Orasta qizlar,Тўгарак машғулотлари ишланмаси. ''Orasta qizlar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 19 вароқ. Электрон вариантдаги формати - PDF.,19000,,,,TRUE,,,,
Adabiy nutq,Тўгарак машғулотлари ишланмаси. ''Adabiy nutq''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,"эл_она, т_она",https://storage.googleapis.com/exprintsalesbot1597642119253/3dcb2390-e3aa-11ea-8c36-13e96ffbf515.gif_1598013091132.gif,,,,,,
"Кружок ""Шашки""","Тўгарак машғулотлари ишланмаси. ''Кружок ""Шашки""''. Формат - А4 (оддий лист). Рангли. Ҳажми - 13 вароқ. Электрон вариантдаги формати - PDF.",13000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/3a0a23f0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013084796.gif,,,,,,
Весёлые цвета,Тўгарак машғулотлари ишланмаси. ''Весёлые цвета''. Формат - А4 (оддий лист). Рангли. Ҳажми - 13 вароқ. Электрон вариантдаги формати - PDF.,13000,"эл_расм, т_расм, с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/350818d0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013076324.gif,,,,,,
Orasta qizlar 8-9,Тўгарак машғулотлари ишланмаси. ''Orasta qizlar 8-9''. Формат - А4 (оддий лист). Рангли. Ҳажми - 16 вароқ. Электрон вариантдаги формати - PDF.,16000,,,,,,,,
Orasta qizlar 5-7,Тўгарак машғулотлари ишланмаси. ''Orasta qizlar 5-7''. Формат - А4 (оддий лист). Рангли. Ҳажми - 15 вароқ. Электрон вариантдаги формати - PDF.,15000,,,,TRUE,,,,
Konstitutsiyani o'rganamiz,Тўгарак машғулотлари ишланмаси. ''Konstitutsiyani o'rganamiz''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,"эл_тар, т_тар",https://storage.googleapis.com/exprintsalesbot1597642119253/167fa130-e3aa-11ea-8c36-13e96ffbf515.gif_1598013025225.gif,,,,,,
Kompyuterda ishlash,Тўгарак машғулотлари ишланмаси. ''Kompyuterda ishlash''. Формат - А4 (оддий лист). Рангли. Ҳажми - 21 вароқ. Электрон вариантдаги формати - PDF.,21000,"эл_инф, т_инф",https://storage.googleapis.com/exprintsalesbot1597642119253/0e9431c0-e3aa-11ea-bd0e-05715eb7d579.gif_1598013011877.gif,,,,,,
Прилежные девочки III,Тўгарак машғулотлари ишланмаси. ''Прилежные девочки III''. Формат - А4 (оддий лист). Рангли. Ҳажми - 15 вароқ. Электрон вариантдаги формати - PDF.,15000,,,,TRUE,,,,
Прилежные девочки II,Тўгарак машғулотлари ишланмаси. ''Прилежные девочки II''. Формат - А4 (оддий лист). Рангли. Ҳажми - 15 вароқ. Электрон вариантдаги формати - PDF.,15000,,,,TRUE,,,,
Прилежные девочки,Тўгарак машғулотлари ишланмаси. ''Прилежные девочки''. Формат - А4 (оддий лист). Рангли. Ҳажми - 14 вароқ. Электрон вариантдаги формати - PDF.,14000,,,,TRUE,,,,
Orasta qizlar,Тўгарак машғулотлари ишланмаси. ''Orasta qizlar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 14 вароқ. Электрон вариантдаги формати - PDF.,14000,,https://storage.googleapis.com/exprintsalesbot1597642119253/f05df8d0-e3a9-11ea-bd0e-05715eb7d579.gif_1598012961173.gif,,,,,,
Учимся говорить правильно,Тўгарак машғулотлари ишланмаси. ''Учимся говорить правильно''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,"эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/ecd28820-e3a9-11ea-bd0e-05715eb7d579.gif_1598012955244.gif,,,,,,
Husnixat,Тўгарак машғулотлари ишланмаси. ''Husnixat''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",,,TRUE,,,,
Mohir qizlar,Тўгарак машғулотлари ишланмаси. ''Mohir qizlar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 26 вароқ. Электрон вариантдаги формати - PDF.,26000,"эл_мех, т_мех",https://storage.googleapis.com/exprintsalesbot1597642119253/dc8abf00-e3a9-11ea-bd0e-05715eb7d579.gif_1598012927927.gif,,,,,,
История техники,Тўгарак машғулотлари ишланмаси. ''История техники''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,"эл_физ, т_физ",,,TRUE,,,,
Ertaklar olami,Тўгарак машғулотлари ишланмаси. ''Ertaklar olami''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/b2c5b120-e3a9-11ea-bd0e-05715eb7d579.gif_1598012857881.gif,,,,,,
